D-ALANINE C00133
D-GALACTOSAMINE-6-PHOSPHATE C06377
CPD-7695 C05889
CPD0-2231 C01344
GDP-MANNOSE C00096
THZ C04294
A-3-OXO-ACID C01656
CPD-12259 CPD-12259
CPD-12297 CPD-12297
D-6-P-GLUCONO-DELTA-LACTONE C01236
CARBAMATE C01563
CPD-69 C01417
CPD-425 C01586
2-METHYL-BUTYRYL-COA C01033
D-RIBULOSE C00309
FUCULOSE-1P C01099
L-FUCULOSE C01721
CPD-10329 C01019
D-RIBULOSE-15-P2 C01182
D-SEDOHEPTULOSE-1-7-P2 C00447
CPD-67 C00988
CPD-292 C06123
PALMITALDEHYDE C00517
CHLOROACETALDEHYDE C06754
CPD-786 C03063
D-METHYL-MALONYL-COA C00683
METHYL-MALONYL-COA C01213
CPD-13534 CPD-13534
CPD-11020 CPD-11020
CPD-12673 CPD-12673
CPD-366 C11536
CPD-7671 C00409
CPD-13175 CPD-13175
BENZYL-ALCOHOL C00556
CPD-13172 CPD-13172
FRUCTOSE-6P C00085
LINOLENIC_ACID C06427
LINOLENOYL-COA C16162
CPD-13524 C00473
CHOCOLA_A C02588
PALMITATE C00249
CPD0-930 CPD0-930
CPD0-929 CPD0-929
MALTOTRIOSE C01835
MALTOTETRAOSE C02052
CPD-13709 CPD-13709
N-ACETYL-D-GLUCOSAMINE C03878
PALMITYL-COA C00154
CPD-12286 CPD-12286
TAGATOSE-1-6-DIPHOSPHATE C03785
CPD-10546 CPD-10546
MANNITOL-1P C00644
KDO2-LIPID-A C06026
GLUTATHIONYLSPERMIDINE C05730
TARTRONATE-S-ALD C01146
CPD0-932 CPD0-932
1-CHLORO-24-DINITROBENZENE C14397
S-24-DINITROPHENYLGLUTATHIONE C11175
CPD0-933 CPD0-933
CPD0-934 CPD0-934
C55-PP-GLCNAC-MANNACA C55-PP-GLCNAC-MANNACA
CPD0-935 CPD0-935
FE+3 C14819
CPD-678 C01528
CAMP C00575
CPD-3617 C01571
CPD0-936 CPD0-936
7-AMINOMETHYL-7-DEAZAGUANINE C01449
C55-PP-GLCNAC-MANNACA-FUC4NAC C55-PP-GLCNAC-MANNACA-FUC4NAC
TDP-FUC4NAC C06018
CPD-12230 CPD-12230
CPD0-937 CPD0-937
OLEATE-CPD C00712
CPD-12708 C15488
CPD-12710 CPD-12710
TDP-D-FUCOSAMINE TDP-D-FUCOSAMINE
CPD0-938 CPD0-938
CPD-14704 CPD-14704
CPD-10806 CPD-10806
CPD-12707 CPD-12707
CPD-12706 CPD-12706
CPD0-939 CPD0-939
CPD-12311 CPD-12311
ADENOSYL-P4 C01260
CPD-5923 CPD-5923
F- C00742
CPD-367 C11537
CPD-389 C00802
CPD-12709 CPD-12709
CPD-18 C02050
LINOLEIC_ACID C01595
CPD-12261 CPD-12261
SULFOACETALDEHYDE C00593
CPD-14675 CPD-14675
PRISTANATE PRISTANATE
CPD-763 C06697
CPD-296 C02147
LIPOIC-ACID C16241
RIBOSE-1-ARSENATE RIBOSE-1-ARSENATE
CPD-12302 CPD-12302
NMNH NMNH
FRU1P C02976
CPD-12760 CPD-12760
GERANYL-PP C00341
CPD-418 CPD-418
CPD-205 C02656
CPD-12377 C16844
OH C01328
CPD-14706 CPD-14706
CPD-14705 CPD-14705
NICOTINAMIDE_RIBOSE C03150
ADP-D-GLUCOSE C00498
ASN C00152
CPD-13717 C05699
CPD-173 C02323
CPD-13174 CPD-13174
CPD-6442 C12305
UDP-MURNAC-TETRAPEPTIDE UDP-MURNAC-TETRAPEPTIDE
CPD0-1110 C08353
CPD-13689 CPD-13689
CPD-13691 CPD-13691
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO- 2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-
CPD0-181 CPD0-181
GUANOSINE C00387
CPD-9956 CPD-9956
UBIQUINONE-8 C17569
TRIMETHYLAMINE C00565
TRIMENTHLAMINE-N-O C01104
INDOLE_PYRUVATE C00331
CPD-14269 CPD-14269
CPD-14268 CPD-14268
CPD-2343 C14899
L-XYLULOSE-5-P C03291
CPD-12366 CPD-12366
L-ASCORBATE-6-PHOSPHATE C16186
LIPOAMIDE C00248
DIHYDROLIPOAMIDE C00579
CPD-365 C00691
MYO-INOSITOL C00137
CPD-13704 CPD-13704
CPD0-1905 CPD0-1905
CPD-13759 CPD-13759
MALTOHEXAOSE C01936
CPD0-1133 CPD0-1133
S-ACETYLPHOSPHOPANTETHEINE C03725
CPD-12541 CPD-12541
DMSO C11143
CPD-15895 CPD-15895
CPD-16551 CPD-16551
CPD0-2461 CPD0-2461
CPD-15318 CPD-15318
CPD0-1133 G00689
MALTOPENTAOSE MALTOPENTAOSE
N-ACETYL-D-MANNOSAMINE C00645
CPD0-1123 CPD0-1123
CPD-1133 C04287
CPD-14808 CPD-14808
CPD-108 C01468
2-DEOXYRIBOSE C01801
CPD-14772 CPD-14772
CPD-14828 CPD-14828
PHENOL C00146
GALACTITOL-1-PHOSPHATE C06311
TAGATOSE-6-PHOSPHATE C01097
PRECURSOR-Z PRECURSOR-Z
CPD-8122 CPD-8122
CPD-4 C05924
CPD-3 C06232
CPD-8123 CPD-8123
CPD-8050 C06153
CPD-365 C20251
CPD-8052 C06150
CPD-645 C04456
CPD-827 C03932
CPD-15127 CPD-15127
CPD-582 CPD-582
CPD-302 C00402
CPD-479 C01180
CPD-397 C03172
ETHYLENE-CMPD C06547
CARBON-DIOXIDE CARBON-DIOXIDE
CPD-15360 CPD-15360
CPD-11592 CPD-11592
CPD0-1122 CPD0-1122
SPERMINE C00750
CPD-10551 CPD-10551
CPD0-2468 CPD0-2468
CPD0-2467 CPD0-2467
PSEUDOURIDINE-5-P C01168
CPD-497 C02067
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE C01222
CPD0-1193 CPD0-1193
3-KETO-L-GULONATE C00618
CPD-12575 C00029
CPD-9026 CPD-9026
CPD-1112 C00847
CPD-234 C04604
CPD-1071 C01270
CPD-565 C01215
CPD-548 C01031
3-SULFINOALANINE C00606
CPD-15158 CPD-15158
5-HYDROXY-CTP 5-HYDROXY-CTP
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE C04216
UDP-D-GALACTO-14-FURANOSE C03733
5-HYDROXYISOURATE C11821
3S-CITRYL-COA C00566
N-FORMYLMETHIONINE C03145
CPD-805 C06556
CPD-806 C06557
PYRAZINAMIDE C01956
PYRAZINOIC-ACID PYRAZINOIC-ACID
HYDROXYPROPANAL C00969
CPD-347 C02457
LIPOYL-AMP C16238
CPD-9647 C17558
CPD0-2015 C02712
CU+2 CU+2
BENZENE C01407
CPD-901 C11151
HG+2 C00703
CPD-343 C04349
CPD-10845 CPD-10845
CPD-10849 CPD-10849
CPD-10850 CPD-10850
CPD-10854 C18302
CPD-10856 CPD-10856
NONAPRENYL-4-HYDROXYBENZOATE C03885
CPD-9863 CPD-9863
CPD-9864 CPD-9864
CPD-9862 CPD-9862
CPD-9852 CPD-9852
CPD-9853 CPD-9853
CPD-10755 CPD-10755
CPD-10754 CPD-10754
CPD-10753 CPD-10753
CPD-10752 CPD-10752
CPD-10751 CPD-10751
CPD-10750 CPD-10750
PHOSPHORYL-CHOLINE C00588
CPD-14437 CPD-14437
CPD-14436 CPD-14436
CPD-568 C00612
CPD-569 C02714
N1-ACETYLSPERMINE C02567
3-HYDROXY-3-METHYL-GLUTARYL-COA C00356
CMP-N-ACETYL-NEURAMINATE C00128
CPD-10791 C16848
CPD-15016 CPD-15016
CPD-597 C00436
CPD-279 C03585
4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE C04431
CPD-10645 CPD-10645
CPD-10643 CPD-10643
CPD-10823 C04559
CPD-10656 C04112
CPD-10852 CPD-10852
CPD-10847 CPD-10847
2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE C04522
CPD-37 C04053
DE-O-K-GLUCONATE C03926
DE-O-GLUCONATE C02782
4-HYDROXY-BUTYRYL-COA C11062
4-HYDROXY-BUTYRATE C00989
HG0 C01319
C-DI-GMP C16463
CD+2 C01413
CPD-290 C06321
CATECHOL C00090
CPD-8997 C11388
CPD-8996 C11389
CPD-741 C04105
CIS-CIS-MUCONATE C02480
CPD-14736 C01718
N-FORMYLKYNURENINE C02700
TRANS-3-METHYL-GLUTACONYL-COA C03231
CPD-13518 CPD-13518
3-METHYL-CROTONYL-COA C03069
ISOVALERYL-COA C02939
3-OXOADIPATE-ENOL-LACTONE C03586
CPD-10825 CPD-10825
CPD-10824 C04558
3-KETO-ADIPATE C00846
CPD-10826 CPD-10826
3-HYDROXY-ANTHRANILATE C00632
3-HYDROXY-L-KYNURENINE C02794
CPD-10792 C16850
CPD-884 C02378
CPD-883 C06593
6-OXO-HEXANOATE C06102
ADIPATE C06104
N-6-AMINOHEXANOYL-6-AMINOHEXANOATE C01255
CPD-3921 C04277
3-DEHYDRO-ALPHA-GLUCOSE 3-DEHYDRO-ALPHA-GLUCOSE
CPD-10260 C16216
CPD-12117 CPD-12117
CR+6 C19161
CR+3 C19368
CGMP C00942
GLUTACONYL-COA C02411
CADAVERINE C01672
CPD-1821 C06366
CPD-313 C00986
CPD-7737 C01278
CPD-10020 CPD-10020
CPD-10019 CPD-10019
PHYTYL-PYROPHOSPHATE C05427
CPD-10660 CPD-10660
CPD-10659 CPD-10659
CPD-8774 C07209
3-METHYLBENZYL-ALCOHOL C07216
CPD-8773 C06758
4-METHYLBENZYL-ALCOHOL C06757
CPD-294 C02222
3-CYANOPYRIDINE 3-CYANOPYRIDINE
CPD-8860 CPD-8860
BUTYRAMIDE BUTYRAMIDE
CPD-12327 CPD-12327
3-UREIDO-ISOBUTYRATE C05100
N-CARBAMOYLGLYCINE N-CARBAMOYLGLYCINE
HYDANTOIN C05146
CPD-674 C00423
CPD-8653 C08539
CPD-8890 CPD-8890
S-ACETYLDIHYDROLIPOAMIDE C01136
CPD-9995 CPD-9995
NORSPERMIDINE C03375
SACCHAROPINE C00449
CPD-8524 CPD-8524
PHENYLHYDANTOIN PHENYLHYDANTOIN
CPD-654 C00433
2-DEHYDRO-3-DEOXY-D-GALACTONATE C01216
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE C01286
CPD-13533 CPD-13533
5-KETO-4-DEOXY-D-GLUCARATE C00679
GLYCOL C01380
PROPANE-1-2-DIOL C02917
4S5S-45-DIHYDROXY-26-DIOXOHEXANOATE C04471
CPD-13122 CPD-13122
ALPHA-D-MANNOSYL-3-PHOSPHOGLYCERATE C11516
CPD-1242 C05394
D-GALACTONATE C00880
CPD-14804 CPD-14804
CPD-3607 CPD-3607
CPD-14805 CPD-14805
CPD-14806 CPD-14806
CPD-14807 CPD-14807
DIETHYLPHOSPHATE C06608
DIETHYLTHIOPHOSPHATE C06607
CPD-471 C01205
CPD-9152 C02375
CPD-10640 C07090
4-TOLUENECARBOXYLATE C01454
NITROUS-OXIDE C00887
CPD-31 C02612
2-METHYLMALEATE C02226
CPD-7066 C06029
CPD-10812 CPD-10812
CPD-12125 CPD-12125
CPD-12116 CPD-12116
CPD-12124 CPD-12124
REDUCED-MENAQUINONE REDUCED-MENAQUINONE
CPD0-1699 CPD0-1699
CPD-13043 CPD-13043
2-OCTAPRENYL-6-METHOXYPHENOL C05812
2-OCTAPRENYL-6-HYDROXYPHENOL C05811
OCTAPRENYL-METHYL-OH-METHOXY-BENZQ C05815
OCTAPRENYL-METHYL-METHOXY-BENZQ C05814
OCTAPRENYL-METHOXY-BENZOQUINONE C05813
2-KETO-3-DEOXY-D-GLUCARATE C03921
L-THREO-3-METHYL-ASPARTATE C03618
MESACONATE C01732
BUTYRYL-P C02527
2-HYDROXYGLUTARYL-COA C03058
QUINATE C00296
CPD-308 C01682
R-2-HYDROXYGLUTARATE C01087
S-CITRAMALATE C02614
CPD-20 C16273
CPD-19 C16272
CPD-17 c06719
CPD-16 c02183
1235-TETRAHYDROXYBENZENE c03743
PYROGALLOL C01108
CPD-183 c01424
NIACINAMIDE NIACINAMIDE
4-HYDROXYPHENYLACETATE 4-HYDROXYPHENYLACETATE
CPD-16876 CPD-16876
2-KETO-GLUTARAMATE C00940
CPD-659 C00826
CPD-10353 C00810
BUTANEDIOL C03044
CPD-7222 C03221
CPD-341 C00955
CPD-15124 C14160
CPD-13992 CPD-13992
CPD-12792 CPD-12792
CPD-13993 CPD-13993
PHTHALATE C01606
CPD1G-121 C06718
S-HYDROXYMETHYLMYCOTHIOL C18235
CPD-26 C06019
CPD1G-2 C06717
PHENYLACETATE C07086
CPD-12674 D09640
CPD-12675 CPD-12675
CPD-12684 CPD-12684
CPD-12682 CPD-12682
CPD-12681 CPD-12681
CPD-12680 CPD-12680
CPD-12679 CPD-12679
CPD-12672 CPD-12672
CPD-12671 CPD-12671
CPD-12676 C19768
CPD-10796 CPD-10796
CPD-13034 CPD-13034
CPD0-2184 C12624
2-KETO-6-AMINO-CAPROATE C03239
CPD-15301 CPD-15301
CPD-9612 CPD-9612
T2-DECENOYL-COA C05275
T2-C4-DECADIENYL-COA T2-C4-DECADIENYL-COA
CPD-15566 CPD-15566
CPD-15567 CPD-15567
CPD-15654 CPD-15654
CPD-15655 CPD-15655
6-CARBOXYHEX-2-ENOYL-COA C06723
CPD-3486 CPD-3486
CPD-1828 C00976
S-1-PHENYLETHANOL C11348
PHENYL C07113
CPD-121 C01983
CPD-122 C01984
CPD-105 C05343
CPD-106 C03198
CPD-15690 CPD-15690
CPD-15686 CPD-15686
CPD-277 C02514
CPD-1070 C02167
6-OXOCYCLOHEX-1-ENE-1-CARBONYL-COA C09821
6-HYDROXYCYCLOHEX-1-ENE-1-CARBONYL-COA C06749
CYCLOHEXA-15-DIENE-1-CARBONYL-COA C06322
HEPTOSYL-KDO2-LIPID-IVA HEPTOSYL-KDO2-LIPID-IVA
CPD-10819 C06313
3-OH-BENZALDEHYDE C03067
3-OH-BENZYL-ALCOHOL C03351
CPDN-384 C06204
CPDN-385 C06203
CPD-514 C07118
BENZOYL-ACETATE C07114
CPD-12703 CPD-12703
CPD-12112 CPD-12112
CPD-554 C09813
CPD-537 C09812
BENZYLSUCCINATE C09816
TOLUENE C01455
CPD-10597 C13638
CPD-10598 C10700
CYCLOHEXANONE C00414
CYCLOHEXANOL C00854
CPD-7602 CPD-7602
OXALATE C00209
CPD-10333 CPD-10333
CPD-7601 CPD-7601
CPD-102 C06103
BENZOYLCOA C00512
BENZOYLSUCCINYL-COA C09820
BENZYLSUCCINYL-COA C09817
3-OXOPIMELOYL-COA C06715
GLUTARYL-COA C00527
3-HYDROXYPIMELYL-COA C06714
CPD-533 C09811
CPD-15900 CPD-15900
CROTONATE C01771
CPD-633 C00628
CPD-12084 CPD-12084
CIS-34-DEHYDROADIPYL-COA CIS-34-DEHYDROADIPYL-COA
CPD-12012 CPD-12012
CYCLOHEX-13-DIENE-56-DIHYDROXY-1-CARBO CYCLOHEX-13-DIENE-56-DIHYDROXY-1-CARBO
36-LACTONE-OF-3-HYDROXYADINYL-COA 36-LACTONE-OF-3-HYDROXYADINYL-COA
TRANS-23-DEHYDROADIPYL-COA C14144
ACETONE C00207
ISO-PROPANOL C01845
CPD-358 C00937
CPD-12377 CPD-12377
OH OH
L-GLYCERALDEHYDE L-GLYCERALDEHYDE
CPD-318 CPD-318
ENOL-PHENYLPYRUVATE ENOL-PHENYLPYRUVATE
CPD-448 CPD-448
AMMONIA AMMONIA
ETHYLENE-CMPD ETHYLENE-CMPD
CPD-653 CPD-653
L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE
CPD-11281 CPD-11281
L-ALPHA-AMINO-EPSILON-KETO-PIMELATE L-ALPHA-AMINO-EPSILON-KETO-PIMELATE
BETAINE-ALDEHYDE-HYDRATE BETAINE-ALDEHYDE-HYDRATE
FORMYL-ISOGLUTAMINE FORMYL-ISOGLUTAMINE
4-OXOGLUTARAMATE 4-OXOGLUTARAMATE
HSO3 HSO3
CPD-334 CPD-334
ISOGLUTAMINE ISOGLUTAMINE
CPD0-1108 CPD0-1108
ARSENATE C01478
CPD-470 C03283
CPD-551 C03167
CPD-1106 C03557
D-SERINE C00740
D-GALACTARATE C01807
L-ALLO-THREONINE C05519
CPD-627 C01011
CPD-1137 C00531
N-ACETYL-L-24-DIAMINOBUTANOATE C06442
ECTOINE C06231
CPD-13118 CPD-13118
CPD-12932 C15867
CPD-512 C03731
STREPTOMYCIN C00413
N-CYCLOHEXYLFORMAMIDE C11519
CYCLOHEXYL-ISOCYANIDE C11520
CH4 C01438
CPD0-2480 CPD0-2480
CPD0-2463 CPD0-2463
FORMYL-COA C00798
OXALYL-COA C00313
45-CIS-DIHYDROXY-12-DITHIACYCLOHEXANE C06484
DITHIOERYTHRITOL C00950
CPD-9122 CPD-9122
ISOPENICILLIN-N C05557
CPD-468 C00956
CPD-9000 C15767
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH C15700
CARBON-MONOXIDE C00237
2K-ADIPATE C00322
CPD-3736 CPD-3736
2-3-DIHYDROXYPHENYL-PROPIONATE C04044
CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL C11588
CPD-157 C04479
ITACONATE C00490
2-AMINOBENZOYL-COA C02247
CPD-1113 C04248
ETHANAMINE C00797
HYDROXYATRAZINE C06552
N-ISOPROPYLAMMELIDE C06553
CPD-529 C01138
CYANURIC-ACID C06554
ISOPROPYLAMINE C06748
6-PYRUVOYL-5678-TETRAHYDROPTERIN C03684
FERRIC-ENTEROBACTIN-COMPLEX C06230
SN-GERANYLGERANYLGLYCERYL-1-PHOSPHATE C04590
SN-GLYCEROL-1-PHOSPHATE C00623
CPD-7107 CPD-7107
4-PRENYLPHLORISOBUTYROPHENONE 4-PRENYLPHLORISOBUTYROPHENONE
CPD-7109 CPD-7109
3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN C07350
CPD-7105 CPD-7105
ATRAZINE C06551
CPD-9375 CPD-9375
CPD-9374 CPD-9374
CPD-9373 CPD-9373
CPD-9372 CPD-9372
CPD-807 C06558
STREPTIDINE-6-PHOSPHATE C01121
CPD-12064 C11351
D-1-GUANIDINO-3-AMINO-13-DIDEOXY-SCYLLO C01298
D-1-GUANIDINO-1-DEOXY-3-DEHYDRO-SCYLLO-I C04673
CPD-7168 C04280
CPD-10137 C06592
DTDP-L-DIHYDROSTREPTOSE C03442
DIHYDROSTREPTOMYCIN-6-PHOSPHATE C01221
O-14-ALPHA-L-DIHYDROSTREPTOSYL-STREPTID C04767
CPD-7167 C01294
CPD-180 C01283
CPD-1105 C01214
CPD1A0-6123 C06691
CPD1A0-6119 CPD1A0-6119
CPD1A0-6117 C12436
CPD1A0-6112 C12435
CPD1A0-6111 C12434
CPD1A0-6106 CPD1A0-6106
CPD1A0-6105 CPD1A0-6105
CPD1A0-6104 CPD1A0-6104
CPD-12119 CPD-12119
CPD-9610 C17432
CPD-12120 CPD-12120
CPD-9649 CPD-9649
DIACETYLCHITOBIOSE-6-PHOSPHATE DIACETYLCHITOBIOSE-6-PHOSPHATE
CPD0-2501 CPD0-2501
2-TRANS6-TRANS-FARNESOL C01126
CPD-355 C01904
CPD-472 C04268
CPD-14298 CPD-14298
CPD-613 C01273
BIPHENYL-23-DIOL C02526
CIS-3-PHENYLCYCLOHEXA-35-DIENE-12-DIOL C06589
CPD-14118 CPD-14118
CPD-12479 C07130
CPD-12489 CPD-12489
3-METHYLXANTHINE C16357
CPD-14119 C16359
CPD-9025 C16358
4-HYDROXYMUCONIC-SEMIALDEHYDE C06603
2-CHLOROMALEYLACETATE C06329
26-DICHLORO-P-HYDROQUINONE C07097
236-TRICHLOROHYDROQUINONE C07099
TETRACHLOROHYDROQUINONE C03434
L-RHAMNONO-14-LACTONE C02991
DEHYDRO-3-DEOXY-L-RHAMNONATE C03979
CPD-13806 CPD-13806
CPD-13776 CPD-13776
CPD-13837 CPD-13837
CPD-13947 CPD-13947
CPD-13967 CPD-13967
CPD-961 C03955
CPD-265 C01028
CPD-8130 C02814
HYDROQUINONE C00530
CPD-259 C02372
CPD-13247 CPD-13247
CPD-10898 C07102
CPD-13246 CPD-13246
25-DICHLOROHYDROQUINONE C06600
CPD-10895 C07101
CPD-10896 C07100
HYDROXYBENZOQUINONE C07103
KYNURENATE C01717
CPD-476 C01252
CPD-11552 C05645
XANTHURENATE C02470
CPD-66 C03459
MESO-TARTRATE C00552
TARTRATE C00898
CPD-15172 CPD-15172
CPD-12724 C10023
L-RHAMNONATE C01934
CPD-216 C02265
CPD-428 C03240
3-MERCAPTO-PYRUVATE C00957
CPD-235 C02798
FERULIC-ACID C01494
CONIFERYL-ALDEHYDE C02666
PHENYLGLYOXYLATE C02137
4-HYDROXYBENZALDEHYDE C00633
CPD-142 C03590
CPD-11223 CPD-11223
CPD-184 C03671
CPD-10821 CPD-10821
CPD-10419 C06675
CPD-10418 C06674
CPD-10420 CPD-10420
2-OXOPROPYL-COM C11497
2-R-HYDROXYPROPYL-COM C11496
ANDROST4ENE C00280
TESTOSTERONE C00535
CPD-13794 CPD-13794
CPD-13793 CPD-13793
CPD-13798 CPD-13798
CPD-13796 CPD-13796
CPD-13803 CPD-13803
CPD-323 C00599
CPD-13684 CPD-13684
CPD-13692 CPD-13692
CPD-13696 CPD-13696
CPD-13698 CPD-13698
CPD-13697 CPD-13697
CPD-13752 CPD-13752
CPD-13751 CPD-13751
CPD-13888 CPD-13888
CPD-13887 CPD-13887
CPD-342 C00674
ANDROSTERONE C00523
CHOLATE C00695
GLYCOCHOLIC_ACID C01921
CHOLANATE2 C04643
CPD-345 C01292
CPD-1085 C04661
CPD-12450 C17644
CPD-12452 CPD-12452
CPD-2542 C05375
CPD-87 C04484
4-OH-4-ACETYL-2-OXOGLUTARATE C04115
CPD-12849 C04324
4-OXALOMESACONATE C04434
2-AMINOMALONATE-SEMIALDEHYDE C11822
CPD-12451 CPD-12451
CPD-698 C15785
CPD-708 C15784
PROGESTERONE C00410
PREGNENOLONE C01953
CHOLESTEROL C00187
CPD-4143 C01753
CPD66-29 CPD66-29
3-BETA-HYDROXYANDROST-5-EN-17-ONE C01227
CPD66-27 CPD66-27
CPD66-23 CPD66-23
CPD66-28 CPD66-28
2-S-HYDROXYPROPYL-COM C11498
HOMO-CIS-ACONITATE C04002
HOMO-CIT C01251
HOMO-I-CIT C05662
3-HYDROHYDROXYPHOSPHORYLPYRUVATE C06368
1-CARBOXYVINYL-CARBOXYPHOSPHONATE C06367
CPD-11740 CPD-11740
GDP-D-GLUCOSE C00394
CPD-11855 CPD-11855
HISTAMINE C00388
CPD0-915 CPD0-915
3-HYDROXY-3-4-METHYLPENT-3-EN-1-YLG-COA C04675
CPD-76 C01291
CPD-12897 C16466
CPD-12902 C16470
CPD-12905 C16469
CPD-12904 C16468
CPD-12906 C16471
3-DE-H-CARNITINE C02636
MALONATE C00383
CPD-12032 CPD-12032
CPD-12036 CPD-12036
CPD-12033 CPD-12033
DIHYDROKAEMPFEROL-CMPD C00974
LEUCOPELARGONIDIN-CMPD C03648
CPD-474 C01617
CPD-590 C05906
CPD-13093 CPD-13093
CPD-13091 CPD-13091
CPD-13094 CPD-13094
CPD-13089 CPD-13089
CPD-13092 CPD-13092
CPD-13090 CPD-13090
SOLANESYL-PYROPHOSPHATE C04145
5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE- C16155
UDP-L-ARA4-FORMYL-N C16154
UDP-4-AMINO-4-DEOXY-L-ARABINOSE C16153
CPD0-888 C16156
CPD0-1189 C16157
CPD-14021 CPD-14021
N6-ACETYLKANAMYCIN-B C03154
CPD-4822 C00825
CPD-10082 CPD-10082
CPD-10080 CPD-10080
CPD-202 C01794
CPD-7257 C05467
CPD-10556 CPD-10556
CPD-10591 c05449
CPD-14932 CPD-14932
L-ARA4N-MODIFIED-KDO2-LIPID-A L-ARA4N-MODIFIED-KDO2-LIPID-A
CPD3DJ-11366 C06124
SPHINGOSINE C00319
GAMMA-GLUTAMYL-PUTRESCINE C15699
CPD-9999 CPD-9999
CPD-10588 C17346
CPD-72 c17345
CPD-10505 C17343
CPD-71 C15613
CPD0-903 CPD0-903
N-ETHYLMALEIMIDE C02441
GENTAMICIN-C C01918
N3-ACETYLGENTAMICIN-C C03297
CPD-484 C03462
CPD-6123 CPD-6123
CPD-6121 CPD-6121
CPD-6122 CPD-6122
CPD-8199 CPD-8199
CPD-8200 CPD-8200
DELTA1-PYRROLINE_2-CARBOXYLATE DELTA1-PYRROLINE_2-CARBOXYLATE
CPD-309 C04137
--EPHEDRINE C01575
CPD-2221 C04351
23-EPOXY-23-DIHYDRO-2-METHYL-14-NAPHTHOQ C05849
2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE C02059
DITHIOTHREITOL C00265
OXIDIZED-DITHIOTHREITOL C01119
CPD-660 C00497
CHLORAMPHENICOL-3-ACETATE C03601
CHLORAMPHENICOL C00918
CPD-310 C03210
CPD-9387 CPD-9387
CPD-9958 CPD-9958
CPD-9873 CPD-9873
CPD-9955 CPD-9955
CPD-9861 CPD-9861
CPD-7867 C02277
CPD-14270 CPD-14270
CPD-9965 C02041
CPD-9957 CPD-9957
CPD-7158 CPD-7158
CPD-9038 C15527
SULFATE SULFATE
CPD-12128 CPD-12128
CPD-12126 CPD-12126
CPD-12118 CPD-12118
CPD-12127 CPD-12127
CPD-15153 CPD-15153
CPD-15152 CPD-15152
CPD-12129 CPD-12129
CPD-12121 CPD-12121
CPD-12130 CPD-12130
CPD-12122 CPD-12122
DIACETYL C00741
CPD-513 C06362
CINNAMOYL-COA C16256
CPD-15020 CPD-15020
CPD-14965 CPD-14965
CPD-13773 CPD-13773
CPD-8891 C02912
COBALT-FACTOR-III C17401
CPD-9048 C16244
CPD-9044 C11543
CPD-9043 C11542
CPD-9041 C11540
CPD-9040 C11539
CPD-825 C02647
CPD-824 C03771
CPD-12138 CPD-12138
CPD-12137 CPD-12137
CPD-12136 CPD-12136
CPD-12135 CPD-12135
PQQ C00113
CPD-7244 C15599
O-ACETYLCARNITINE C02571
CPD-255 C01769
CIS-4-HYDROXY-D-PROLINE C03440
CPD-346 C03046
3-HYDROXYBENZOATE C00587
ENTEROBACTIN C05821
CPD-62 C04030
SERYL-AMP C05820
3-OXOPRISTANOYL-COA C07297
4812-TRIMETHYLTRIDECANOYL-COA C07296
CPD0-1101 CPD0-1101
CPD0-1099 CPD0-1099
CPD-15551 CPD-15551
CPD-3746 C11145
CPD-15242 CPD-15242
PHOSPHORYL-ETHANOLAMINE C00346
CPD-15648 CPD-15648
CPD-13847 C04613
CPD-15647 CPD-15647
CPD-3344 C02193
HYDROXYLAMINE C00192
